kecamatan,periode,jumlah_kasus
Cengkareng,2021-05-01,21
Cengkareng,2021-06-01,20
Cengkareng,2021-07-01,7
Cengkareng,2021-08-01,11
Cengkareng,2021-09-01,29
Cengkareng,2021-10-01,21
Cengkareng,2021-11-01,20
Cengkareng,2021-12-01,43
Cengkareng,2022-01-01,54
Cengkareng,2022-02-01,23
Cengkareng,2022-03-01,51
Cengkareng,2022-04-01,83
Cengkareng,2022-05-01,76
Cengkareng,2022-06-01,70
Cengkareng,2022-07-01,48
Cengkareng,2022-08-01,40
Cengkareng,2022-09-01,25
Cengkareng,2022-10-01,26
Cengkareng,2022-11-01,34
Cengkareng,2022-12-01,38
Cengkareng,2023-01-01,33
Cengkareng,2023-02-01,18
Cengkareng,2023-03-01,25
Cengkareng,2023-04-01,43
Cengkareng,2023-05-01,48
Cengkareng,2023-06-01,29
Cengkareng,2023-07-01,21
Cengkareng,2023-08-01,17
Cengkareng,2023-09-01,20
Cengkareng,2023-10-01,26
Cengkareng,2023-11-01,15
Cengkareng,2023-12-01,9
Cengkareng,2024-01-01,30
Cengkareng,2024-02-01,83
Cengkareng,2024-03-01,122
Cengkareng,2024-04-01,129
Cengkareng,2024-05-01,156
Cengkareng,2024-06-01,77
Cengkareng,2024-07-01,44
Cengkareng,2024-08-01,41
Cengkareng,2024-09-01,28
Cengkareng,2024-10-01,24
Cengkareng,2024-11-01,23
Cengkareng,2024-12-01,41
Cengkareng,2025-01-01,61
Cengkareng,2025-02-01,79
Cengkareng,2025-03-01,104
Cengkareng,2025-04-01,133
Cengkareng,2025-05-01,142
Cengkareng,2025-06-01,130
Cengkareng,2025-07-01,150
Cengkareng,2025-08-01,128
Cengkareng,2025-09-01,75
Cengkareng,2025-10-01,57
Cengkareng,2025-11-01,53
Cengkareng,2025-12-01,51
Cilandak,2010-01-01,53
Cilandak,2010-02-01,70
Cilandak,2010-03-01,59
Cilandak,2010-04-01,56
Cilandak,2010-05-01,43
Cilandak,2010-06-01,40
Cilandak,2010-07-01,46
Cilandak,2010-08-01,51
Cilandak,2010-09-01,32
Cilandak,2010-10-01,40
Cilandak,2010-11-01,53
Cilandak,2010-12-01,33
Cilandak,2011-01-01,16
Cilandak,2011-02-01,19
Cilandak,2011-03-01,14
Cilandak,2011-04-01,11
Cilandak,2011-05-01,2
Cilandak,2011-06-01,4
Cilandak,2011-07-01,15
Cilandak,2011-08-01,14
Cilandak,2011-09-01,4
Cilandak,2011-10-01,11
Cilandak,2011-11-01,11
Cilandak,2011-12-01,12
Cilandak,2012-01-01,28
Cilandak,2012-02-01,20
Cilandak,2012-03-01,24
Cilandak,2012-04-01,22
Cilandak,2012-05-01,11
Cilandak,2012-06-01,20
Cilandak,2012-07-01,8
Cilandak,2012-08-01,0
Cilandak,2012-09-01,4
Cilandak,2012-10-01,1
Cilandak,2012-11-01,3
Cilandak,2012-12-01,4
Cilandak,2013-01-01,14
Cilandak,2013-02-01,18
Cilandak,2013-03-01,5
Cilandak,2013-04-01,13
Cilandak,2013-05-01,21
Cilandak,2013-06-01,27
Cilandak,2013-07-01,13
Cilandak,2013-08-01,43
Cilandak,2013-09-01,31
Cilandak,2013-10-01,12
Cilandak,2013-11-01,14
Cilandak,2013-12-01,1
Cilandak,2014-01-01,32
Cilandak,2014-02-01,24
Cilandak,2014-03-01,40
Cilandak,2014-04-01,42
Cilandak,2014-05-01,43
Cilandak,2014-06-01,20
Cilandak,2014-07-01,26
Cilandak,2014-08-01,26
Cilandak,2014-09-01,14
Cilandak,2014-10-01,12
Cilandak,2014-11-01,0
Cilandak,2014-12-01,5
Cilandak,2015-01-01,16
Cilandak,2015-02-01,23
Cilandak,2015-03-01,27
Cilandak,2015-04-01,32
Cilandak,2015-05-01,16
Cilandak,2015-06-01,13
Cilandak,2015-07-01,5
Cilandak,2015-08-01,3
Cilandak,2015-09-01,3
Cilandak,2015-10-01,0
Cilandak,2015-11-01,0
Cilandak,2015-12-01,3
Cilandak,2016-01-01,23
Cilandak,2016-02-01,46
Cilandak,2016-03-01,59
Cilandak,2016-04-01,64
Cilandak,2016-05-01,55
Cilandak,2016-06-01,28
Cilandak,2016-07-01,31
Cilandak,2016-08-01,26
Cilandak,2016-09-01,23
Cilandak,2016-10-01,27
Cilandak,2016-11-01,13
Cilandak,2016-12-01,8
Cilandak,2017-01-01,8
Cilandak,2017-02-01,5
Cilandak,2017-03-01,4
Cilandak,2017-04-01,3
Cilandak,2017-05-01,5
Cilandak,2017-06-01,2
Cilandak,2017-07-01,0
Cilandak,2017-08-01,2
Cilandak,2017-09-01,1
Cilandak,2017-10-01,6
Cilandak,2017-11-01,2
Cilandak,2017-12-01,1
Cilandak,2018-01-01,1
Cilandak,2018-02-01,2
Cilandak,2018-03-01,1
Cilandak,2018-04-01,1
Cilandak,2018-05-01,9
Cilandak,2018-06-01,1
Cilandak,2018-07-01,4
Cilandak,2018-08-01,3
Cilandak,2018-09-01,0
Cilandak,2018-10-01,1
Cilandak,2018-11-01,2
Cilandak,2018-12-01,5
Cilandak,2019-01-01,16
Cilandak,2019-02-01,15
Cilandak,2019-03-01,7
Cilandak,2019-04-01,2
Cilandak,2019-05-01,2
Cilandak,2019-06-01,3
Cilandak,2019-07-01,3
Cilandak,2019-08-01,0
Cilandak,2019-09-01,0
Cilandak,2019-10-01,0
Cilandak,2019-11-01,1
Cilandak,2019-12-01,1
Cilandak,2020-01-01,2
Cilandak,2020-02-01,13
Cilandak,2020-03-01,16
Cilandak,2020-04-01,10
Cilandak,2020-05-01,3
Cilandak,2020-06-01,6
Cilandak,2020-07-01,3
Cilandak,2020-08-01,2
Cilandak,2020-09-01,1
Cilandak,2020-10-01,2
Cilandak,2020-11-01,0
Cilandak,2020-12-01,0
Cilandak,2021-01-01,1
Cilandak,2021-02-01,1
Cilandak,2021-03-01,0
Cilandak,2021-04-01,0
Cilandak,2021-05-01,1
Cilandak,2021-06-01,3
Cilandak,2021-07-01,2
Cilandak,2021-08-01,4
Cilandak,2021-09-01,7
Cilandak,2021-10-01,4
Cilandak,2021-11-01,16
Cilandak,2021-12-01,11
Cilandak,2022-01-01,14
Cilandak,2022-02-01,6
Cilandak,2022-03-01,15
Cilandak,2022-04-01,29
Cilandak,2022-05-01,19
Cilandak,2022-06-01,19
Cilandak,2022-07-01,26
Cilandak,2022-08-01,16
Cilandak,2022-09-01,7
Cilandak,2022-10-01,5
Cilandak,2022-11-01,5
Cilandak,2022-12-01,10
Cilandak,2023-01-01,7
Cilandak,2023-02-01,2
Cilandak,2023-03-01,5
Cilandak,2023-04-01,4
Cilandak,2023-05-01,1
Cilandak,2023-06-01,5
Cilandak,2023-07-01,2
Cilandak,2023-08-01,0
Cilandak,2023-09-01,3
Cilandak,2023-10-01,1
Cilandak,2023-11-01,0
Cilandak,2023-12-01,1
Cilandak,2024-01-01,2
Cilandak,2024-02-01,17
Cilandak,2024-03-01,37
Cilandak,2024-04-01,22
Cilandak,2024-05-01,38
Cilandak,2024-06-01,13
Cilandak,2024-07-01,14
Cilandak,2024-08-01,9
Cilandak,2024-09-01,6
Cilandak,2024-10-01,4
Cilandak,2024-11-01,2
Cilandak,2024-12-01,3
Cilandak,2025-01-01,18
Cilandak,2025-02-01,18
Cilandak,2025-03-01,13
Cilandak,2025-04-01,14
Cilandak,2025-05-01,6
Cilandak,2025-06-01,4
Cilandak,2025-07-01,7
Cilandak,2025-08-01,6
Cilandak,2025-09-01,8
Cilandak,2025-10-01,9
Cilandak,2025-11-01,6
Cilandak,2025-12-01,0
Cilincing,2010-01-01,42
Cilincing,2010-02-01,77
Cilincing,2010-03-01,120
Cilincing,2010-04-01,81
Cilincing,2010-05-01,58
Cilincing,2010-06-01,38
Cilincing,2010-07-01,46
Cilincing,2010-08-01,39
Cilincing,2010-09-01,30
Cilincing,2010-10-01,36
Cilincing,2010-11-01,44
Cilincing,2010-12-01,29
Cilincing,2011-01-01,25
Cilincing,2011-02-01,31
Cilincing,2011-03-01,45
Cilincing,2011-04-01,27
Cilincing,2011-05-01,22
Cilincing,2011-06-01,22
Cilincing,2011-07-01,21
Cilincing,2011-08-01,21
Cilincing,2011-09-01,12
Cilincing,2011-10-01,7
Cilincing,2011-11-01,5
Cilincing,2011-12-01,6
Cilincing,2012-01-01,25
Cilincing,2012-02-01,28
Cilincing,2012-03-01,31
Cilincing,2012-04-01,40
Cilincing,2012-05-01,49
Cilincing,2012-06-01,24
Cilincing,2012-07-01,20
Cilincing,2012-08-01,16
Cilincing,2012-09-01,2
Cilincing,2012-10-01,7
Cilincing,2012-11-01,6
Cilincing,2012-12-01,15
Cilincing,2013-01-01,18
Cilincing,2013-02-01,29
Cilincing,2013-03-01,11
Cilincing,2013-04-01,44
Cilincing,2013-05-01,42
Cilincing,2013-06-01,25
Cilincing,2013-07-01,20
Cilincing,2013-08-01,25
Cilincing,2013-09-01,9
Cilincing,2013-10-01,10
Cilincing,2013-11-01,10
Cilincing,2013-12-01,3
Cilincing,2014-01-01,21
Cilincing,2014-02-01,17
Cilincing,2014-03-01,32
Cilincing,2014-04-01,40
Cilincing,2014-05-01,11
Cilincing,2014-06-01,11
Cilincing,2014-07-01,15
Cilincing,2014-08-01,13
Cilincing,2014-09-01,7
Cilincing,2014-10-01,6
Cilincing,2014-11-01,8
Cilincing,2014-12-01,2
Cilincing,2015-01-01,8
Cilincing,2015-02-01,20
Cilincing,2015-03-01,31
Cilincing,2015-04-01,48
Cilincing,2015-05-01,18
Cilincing,2015-06-01,30
Cilincing,2015-07-01,17
Cilincing,2015-08-01,19
Cilincing,2015-09-01,9
Cilincing,2015-10-01,10
Cilincing,2015-11-01,1
Cilincing,2015-12-01,13
Cilincing,2016-01-01,31
Cilincing,2016-02-01,90
Cilincing,2016-03-01,80
Cilincing,2016-04-01,40
Cilincing,2016-05-01,71
Cilincing,2016-06-01,27
Cilincing,2016-07-01,8
Cilincing,2016-08-01,16
Cilincing,2016-09-01,40
Cilincing,2016-10-01,9
Cilincing,2016-11-01,45
Cilincing,2016-12-01,36
Cilincing,2017-01-01,42
Cilincing,2017-02-01,22
Cilincing,2017-03-01,26
Cilincing,2017-04-01,29
Cilincing,2017-05-01,19
Cilincing,2017-06-01,5
Cilincing,2017-07-01,3
Cilincing,2017-08-01,0
Cilincing,2017-09-01,4
Cilincing,2017-10-01,20
Cilincing,2017-11-01,31
Cilincing,2017-12-01,5
Cilincing,2018-01-01,5
Cilincing,2018-02-01,1
Cilincing,2018-03-01,8
Cilincing,2018-04-01,5
Cilincing,2018-05-01,8
Cilincing,2018-06-01,4
Cilincing,2018-07-01,10
Cilincing,2018-08-01,6
Cilincing,2018-09-01,4
Cilincing,2018-10-01,3
Cilincing,2018-11-01,2
Cilincing,2018-12-01,3
Cilincing,2019-01-01,15
Cilincing,2019-02-01,45
Cilincing,2019-03-01,88
Cilincing,2019-04-01,16
Cilincing,2019-05-01,30
Cilincing,2019-06-01,20
Cilincing,2019-07-01,3
Cilincing,2019-08-01,1
Cilincing,2019-09-01,0
Cilincing,2019-10-01,1
Cilincing,2019-11-01,0
Cilincing,2019-12-01,6
Cilincing,2020-01-01,4
Cilincing,2020-02-01,0
